Product Type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Timestamp
Lipstick,SKU-1049,68.74,Out of Stock,9,1224.53,Senior,173,14,86,1,UPS,43.91,Supplier B,USA,2876,12,687.71,Fail,0.0053,Air,Route-36,8838.55,2024-06-12
Mascara,SKU-1000,57.25,Out of Stock,20,1427.73,Adult,204,11,43,3,USPS,43.17,Supplier B,USA,8007,1,1280.34,Pass,0.0522,Sea,Route-25,5297.3,2024-06-12
Eyeliner,SKU-1044,34.13,In Stock,5,154.27,Teen,500,10,42,5,FedEx,37.43,Supplier A,India,2177,13,2800.08,Pass,0.0379,Air,Route-22,5007.76,2024-06-12
Mascara,SKU-1005,39.39,Out of Stock,18,1022.31,Adult,350,10,45,2,USPS,7.18,Supplier B,USA,8381,17,2181.46,Pass,0.173,Sea,Route-45,1249.45,2024-06-12
Blush,SKU-1015,76.71,Pre-Order,19,1933.92,Teen,65,6,17,9,USPS,35.07,Supplier C,China,9169,24,566.64,Pass,0.0317,Sea,Route-32,8547.84,2024-06-12
Lipstick,SKU-1033,93.35,In Stock,16,3239.82,Teen,458,12,76,7,UPS,49.35,Supplier C,India,5712,3,1870.51,Fail,0.0253,Road,Route-11,9076.23,2024-06-12
Blush,SKU-1035,92.43,Out of Stock,4,521.05,Senior,214,6,42,10,UPS,19.79,Supplier A,Germany,3394,17,2346.27,Pass,0.0081,Road,Route-20,8047.95,2024-06-12
Blush,SKU-1005,39.39,Out of Stock,13,639.54,Adult,131,8,33,9,USPS,48.4,Supplier C,Mexico,4728,21,2018.59,Fail,0.0452,Sea,Route-10,1367.05,2024-06-12
Blush,SKU-1002,22.21,In Stock,1,18.42,Senior,466,11,2,3,USPS,39.33,Supplier B,Mexico,3489,13,1098.41,Fail,0.0161,Air,Route-34,6886.87,2024-06-12
Eyeliner,SKU-1001,90.71,Out of Stock,12,1133.63,Senior,495,13,7,9,DHL,43.94,Supplier A,Germany,5063,13,2914.72,Pass,0.0425,Road,Route-28,9924.09,2024-06-12
Mascara,SKU-1041,41.44,In Stock,16,723.91,Adult,439,2,49,1,UPS,38.32,Supplier B,USA,7125,28,3808.74,Pass,0.1786,Road,Route-13,4515.87,2024-06-12
Eyeliner,SKU-1036,18.64,Pre-Order,6,101.98,Senior,196,8,37,5,FedEx,27.24,Supplier A,India,4962,5,888.6,Pass,0.0291,Road,Route-13,7212.63,2024-06-12
Blush,SKU-1046,55.69,Pre-Order,1,47.84,Senior,233,9,8,4,FedEx,16.78,Supplier B,China,2152,15,3199.77,Pass,0.0357,Road,Route-49,479.68,2024-06-12
Mascara,SKU-1042,27.26,In Stock,18,664.71,Senior,479,12,21,6,USPS,9.86,Supplier C,China,4302,16,3352.84,Fail,0.1864,Road,Route-49,1336.65,2024-06-12
Blush,SKU-1012,22.79,In Stock,10,213.35,Teen,72,11,31,10,UPS,17.66,Supplier A,USA,3049,27,1440.17,Pass,0.0178,Air,Route-49,5815.15,2024-06-12
Foundation,SKU-1026,29.52,Pre-Order,11,673.38,Teen,246,3,58,3,FedEx,42.74,Supplier B,Germany,6831,18,3041.59,Fail,0.0477,Sea,Route-41,6272.34,2024-06-12
Eyeliner,SKU-1000,57.25,Out of Stock,5,314.77,Teen,221,14,29,7,FedEx,22.9,Supplier A,Mexico,8432,1,4089.61,Fail,0.0132,Sea,Route-3,7551.76,2024-06-12
Lipstick,SKU-1030,32.56,Pre-Order,16,1219.89,Senior,264,10,82,1,USPS,17.85,Supplier A,Mexico,4989,28,4372.4,Fail,0.0261,Air,Route-34,3398.33,2024-06-12
Blush,SKU-1031,48.54,Out of Stock,9,450.33,Adult,491,13,18,10,UPS,11.15,Supplier C,India,3060,8,1804.42,Fail,0.0207,Road,Route-20,1298.31,2024-06-12
Eyeliner,SKU-1008,53.77,Out of Stock,6,306.9,Senior,104,6,31,3,DHL,5.37,Supplier B,Germany,9229,12,3604.47,Pass,0.0081,Sea,Route-27,5923.09,2024-06-12
Blush,SKU-1045,57.87,Pre-Order,5,289.74,Senior,154,10,41,1,UPS,46.53,Supplier C,China,7237,29,1874.54,Pass,0.0221,Road,Route-21,6308.94,2024-06-12
Lipstick,SKU-1015,76.71,Out of Stock,1,182.82,Senior,302,14,56,4,UPS,25.84,Supplier C,Mexico,7262,6,2031.65,Pass,0.0142,Air,Route-50,7446.24,2024-06-12
Foundation,SKU-1030,32.56,Pre-Order,19,1450.04,Adult,98,1,61,6,FedEx,6.38,Supplier C,Germany,1790,22,1956.47,Fail,0.0273,Sea,Route-3,9355.23,2024-06-12
Lipstick,SKU-1023,21.71,In Stock,1,36.45,Adult,478,14,55,7,USPS,39.79,Supplier A,India,3503,19,4112.54,Pass,0.0223,Air,Route-36,1663.47,2024-06-12
Lipstick,SKU-1043,95.24,In Stock,17,2941.21,Senior,84,6,94,4,USPS,40.81,Supplier C,India,6973,24,1520.87,Fail,0.0483,Sea,Route-8,5284.03,2024-06-12
Blush,SKU-1004,66.7,In Stock,13,757.6,Senior,89,4,2,4,UPS,17.86,Supplier B,USA,1120,28,4567.34,Fail,0.0199,Air,Route-25,7469.64,2024-06-12
Eyeliner,SKU-1029,67.32,Out of Stock,12,1023.35,Teen,34,3,40,3,FedEx,10.41,Supplier A,Germany,2802,20,4525.21,Pass,0.0491,Air,Route-35,3776.14,2024-06-12
Eyeliner,SKU-1029,67.32,Pre-Order,18,1249.1,Senior,281,14,38,4,DHL,42.98,Supplier A,China,5576,7,3674.37,Pass,0.0119,Air,Route-37,8682.82,2024-06-12
Eyeliner,SKU-1028,69.89,Out of Stock,10,1007.11,Adult,335,4,25,10,USPS,43.14,Supplier A,Mexico,653,12,1796.2,Fail,0.0365,Sea,Route-20,9842.48,2024-06-12
Foundation,SKU-1008,53.77,In Stock,16,2069.46,Adult,227,8,87,10,DHL,36.24,Supplier A,Germany,5651,26,897.54,Fail,0.0008,Road,Route-41,2604.86,2024-06-12
Mascara,SKU-1016,44.94,In Stock,20,1068.46,Senior,71,4,27,2,USPS,10.7,Supplier C,Germany,6981,23,3281.52,Fail,0.1689,Sea,Route-31,9162.16,2024-06-12
Foundation,SKU-1048,61.2,Pre-Order,9,1031.28,Adult,280,12,50,9,FedEx,12.38,Supplier A,China,711,9,3124.66,Pass,0.0249,Road,Route-48,2453.84,2024-06-12
Lipstick,SKU-1041,41.44,Out of Stock,13,1092.14,Adult,461,14,56,10,UPS,47.05,Supplier A,China,8470,4,2262.79,Pass,0.0332,Road,Route-43,2567.85,2024-06-12
Lipstick,SKU-1006,26.84,Pre-Order,13,839.35,Teen,94,6,50,1,USPS,28.17,Supplier B,Mexico,6384,8,3484.34,Fail,0.0085,Road,Route-41,8097.22,2024-06-12
Blush,SKU-1042,27.26,Pre-Order,7,229.58,Adult,74,6,31,7,USPS,27.46,Supplier C,USA,456,5,3419.01,Fail,0.0242,Air,Route-28,3350.75,2024-06-12
Lipstick,SKU-1004,66.7,Out of Stock,5,699.63,Teen,433,5,84,3,UPS,29.58,Supplier A,China,874,2,4906.73,Fail,0.0372,Sea,Route-1,9726.45,2024-06-12
Eyeliner,SKU-1025,65.65,Pre-Order,4,326.02,Senior,199,14,46,8,UPS,37.93,Supplier B,India,5000,5,2441.7,Fail,0.0187,Road,Route-29,7107.56,2024-06-12
Blush,SKU-1007,10.24,In Stock,9,132.67,Adult,373,10,21,8,USPS,12.44,Supplier A,Mexico,223,23,3304.49,Pass,0.0113,Air,Route-36,4949.13,2024-06-12
Foundation,SKU-1038,95.23,Pre-Order,2,441.6,Teen,96,11,82,5,FedEx,8.55,Supplier C,India,5650,15,4406.65,Pass,0.0141,Air,Route-48,5532.86,2024-06-12
Eyeliner,SKU-1017,16.21,Pre-Order,5,108.21,Teen,498,12,12,9,FedEx,6.78,Supplier B,USA,307,5,3287.23,Pass,0.0314,Sea,Route-10,4856.2,2024-06-12
Lipstick,SKU-1043,95.24,Out of Stock,19,4187.82,Adult,8,13,86,9,UPS,14.97,Supplier C,Germany,3299,7,2497.38,Pass,0.0201,Sea,Route-25,4884.41,2024-06-12
Foundation,SKU-1016,44.94,In Stock,12,897.77,Teen,229,1,63,3,UPS,10.58,Supplier C,USA,7965,25,1026.81,Pass,0.0352,Road,Route-34,120.32,2024-06-12
Foundation,SKU-1039,80.91,In Stock,10,1650.96,Senior,350,10,74,2,FedEx,25.27,Supplier B,Mexico,8223,19,4532.8,Fail,0.0463,Road,Route-19,9840.37,2024-06-12
Lipstick,SKU-1038,95.23,Out of Stock,8,1514.68,Adult,242,11,65,5,USPS,27.54,Supplier C,USA,7632,16,4562.38,Fail,0.0329,Air,Route-28,1990.4,2024-06-12
Blush,SKU-1001,90.71,In Stock,1,85.97,Teen,338,12,38,5,UPS,29.21,Supplier B,Germany,5089,10,2137.59,Fail,0.0238,Road,Route-17,2416.34,2024-06-12
Mascara,SKU-1003,66.55,Pre-Order,3,214.84,Adult,10,10,32,7,FedEx,7.13,Supplier A,Germany,5022,29,3130.55,Fail,0.0536,Air,Route-2,4131.81,2024-06-12
Mascara,SKU-1026,29.52,In Stock,12,513.95,Adult,288,11,3,6,FedEx,27.4,Supplier B,USA,8121,23,4215.85,Fail,0.1124,Air,Route-44,9360.6,2024-06-12
Foundation,SKU-1019,51.77,Pre-Order,1,106.49,Teen,43,8,50,9,FedEx,34.07,Supplier B,China,3082,9,544.4,Pass,0.0119,Sea,Route-24,2663.42,2024-06-12
Lipstick,SKU-1011,75.45,Pre-Order,5,687.92,Senior,69,7,78,4,DHL,49.78,Supplier C,Mexico,8470,9,3165.22,Fail,0.0155,Air,Route-38,6405.22,2024-06-12
Lipstick,SKU-1005,39.39,Out of Stock,6,355.29,Adult,460,1,91,3,USPS,5.24,Supplier A,Germany,8778,10,2851.07,Fail,0.0421,Air,Route-27,5289.65,2024-06-12
Lipstick,SKU-1024,80.89,In Stock,2,391.69,Senior,456,10,68,10,USPS,49.04,Supplier C,China,8572,14,885.67,Fail,0.0132,Sea,Route-15,1539.31,2024-06-12
Mascara,SKU-1034,11.27,Pre-Order,13,206.55,Senior,447,11,8,10,USPS,22.67,Supplier C,Mexico,4546,18,2409.64,Pass,0.1644,Road,Route-3,8770.67,2024-06-12
Mascara,SKU-1032,73.53,Out of Stock,16,1417.89,Adult,95,11,12,7,USPS,18.17,Supplier B,China,8754,5,2797.49,Fail,0.1095,Air,Route-50,8820.79,2024-06-12
Eyeliner,SKU-1032,73.53,In Stock,18,1788.95,Teen,115,9,6,1,DHL,28.65,Supplier B,China,1924,18,4420.35,Fail,0.0361,Road,Route-8,4489.13,2024-06-12
Eyeliner,SKU-1017,16.21,Pre-Order,2,41.25,Teen,221,13,27,9,FedEx,32.85,Supplier A,Germany,6245,1,3033.78,Fail,0.0013,Sea,Route-10,8483.67,2024-06-12
Blush,SKU-1008,53.77,Pre-Order,19,1053.54,Senior,294,3,28,8,FedEx,14.35,Supplier B,USA,549,4,1170.5,Fail,0.0299,Air,Route-14,6831.73,2024-06-12
Eyeliner,SKU-1026,29.52,Out of Stock,4,113.92,Teen,164,11,37,5,DHL,15.82,Supplier B,Germany,6816,19,3999.65,Pass,0.0402,Sea,Route-21,8279.15,2024-06-12
Lipstick,SKU-1028,69.89,Pre-Order,7,1167.85,Senior,12,13,100,10,FedEx,18.22,Supplier B,USA,5475,1,4515.02,Pass,0.0182,Road,Route-5,5078.04,2024-06-12
Blush,SKU-1028,69.89,Pre-Order,13,1293.29,Senior,432,4,6,10,DHL,33.35,Supplier A,USA,1574,6,2183.41,Fail,0.0488,Air,Route-32,5026.9,2024-06-12
Mascara,SKU-1041,41.44,Pre-Order,5,278.53,Teen,110,10,41,7,USPS,28.76,Supplier B,USA,6975,24,3200.17,Pass,0.0898,Road,Route-18,8515.66,2024-06-12
Eyeliner,SKU-1015,76.71,Out of Stock,15,1028.32,Senior,180,8,3,7,DHL,34.21,Supplier C,China,8744,7,3759.64,Fail,0.015,Sea,Route-28,3770.07,2024-06-12
Blush,SKU-1049,68.74,Out of Stock,20,2024.57,Adult,469,14,34,9,USPS,48.56,Supplier B,USA,839,15,2723.24,Pass,0.0252,Air,Route-32,7559.21,2024-06-12
Foundation,SKU-1014,74.37,Pre-Order,1,183.02,Teen,27,6,83,9,FedEx,29.6,Supplier A,USA,4671,24,633.22,Pass,0.0263,Road,Route-49,2299.36,2024-06-12
Eyeliner,SKU-1026,29.52,Out of Stock,1,30.26,Senior,206,12,33,5,USPS,9.87,Supplier C,USA,961,2,4230.7,Fail,0.0421,Road,Route-36,1475.62,2024-06-12
Blush,SKU-1047,95.61,Pre-Order,16,1773.81,Teen,66,6,37,9,USPS,24.08,Supplier B,Germany,350,15,2677.72,Pass,0.0014,Road,Route-39,971.83,2024-06-12
Blush,SKU-1034,11.27,Pre-Order,12,197.25,Senior,447,12,46,7,FedEx,10.44,Supplier C,Mexico,5183,2,1265.68,Pass,0.0226,Sea,Route-40,6006.49,2024-06-12
Mascara,SKU-1023,21.71,Out of Stock,1,19.33,Teen,366,5,35,8,USPS,22.12,Supplier C,Mexico,6396,24,1479.35,Fail,0.1289,Sea,Route-48,7546.96,2024-06-12
Eyeliner,SKU-1036,18.64,Pre-Order,12,325.72,Senior,267,4,33,6,UPS,14.7,Supplier C,Germany,2471,21,917.0,Pass,0.0091,Air,Route-32,4284.11,2024-06-12
Foundation,SKU-1017,16.21,Out of Stock,20,653.77,Adult,104,11,80,7,UPS,49.45,Supplier B,USA,8346,13,1659.04,Pass,0.0023,Sea,Route-6,586.12,2024-06-12
Lipstick,SKU-1039,80.91,Pre-Order,19,3118.01,Teen,390,3,61,7,USPS,11.94,Supplier C,China,5402,13,1743.97,Fail,0.0111,Sea,Route-31,8241.22,2024-06-12
Lipstick,SKU-1022,68.05,Pre-Order,6,636.42,Adult,39,11,90,8,FedEx,30.21,Supplier A,China,7540,26,2779.92,Fail,0.0349,Sea,Route-15,9963.89,2024-06-12
Lipstick,SKU-1013,53.88,Pre-Order,18,1753.34,Adult,59,14,51,7,FedEx,49.41,Supplier A,Mexico,6187,13,1374.75,Fail,0.0398,Road,Route-1,4612.58,2024-06-12
Eyeliner,SKU-1004,66.7,Out of Stock,2,120.23,Senior,481,3,31,6,DHL,26.46,Supplier B,USA,5732,21,2856.61,Fail,0.0494,Sea,Route-32,3456.15,2024-06-12
Lipstick,SKU-1001,90.71,Pre-Order,9,1906.34,Teen,200,12,97,10,DHL,24.75,Supplier B,China,8722,9,2845.49,Pass,0.0121,Sea,Route-44,9329.24,2024-06-12
Foundation,SKU-1044,34.13,Out of Stock,14,975.6,Teen,61,7,51,3,UPS,13.9,Supplier B,USA,3070,26,803.37,Fail,0.0421,Sea,Route-14,7691.2,2024-06-12
Foundation,SKU-1026,29.52,Out of Stock,4,219.95,Adult,271,10,57,10,FedEx,17.93,Supplier C,India,5225,27,2027.43,Pass,0.0143,Air,Route-34,2802.95,2024-06-12
Blush,SKU-1017,16.21,In Stock,1,20.22,Adult,186,9,2,9,DHL,31.3,Supplier B,USA,2011,2,4046.7,Pass,0.0196,Sea,Route-36,5216.46,2024-06-12
Lipstick,SKU-1045,57.87,Out of Stock,7,849.07,Adult,47,13,88,2,FedEx,22.28,Supplier A,India,8350,29,3362.67,Pass,0.0153,Air,Route-5,9327.01,2024-06-12
Lipstick,SKU-1024,80.89,Out of Stock,18,2398.89,Adult,469,5,97,7,UPS,31.62,Supplier B,Mexico,1184,22,2409.23,Fail,0.0374,Sea,Route-10,7654.08,2024-06-12
Eyeliner,SKU-1046,55.69,Pre-Order,9,578.47,Adult,345,14,40,4,USPS,38.26,Supplier B,China,1718,14,3804.7,Pass,0.0206,Air,Route-23,1748.14,2024-06-12
Eyeliner,SKU-1041,41.44,Pre-Order,8,287.18,Senior,359,4,11,6,FedEx,23.45,Supplier A,China,1709,28,2124.72,Fail,0.0354,Sea,Route-17,1860.49,2024-06-12
Mascara,SKU-1031,48.54,In Stock,17,932.23,Teen,158,1,42,7,USPS,7.31,Supplier A,China,6972,13,2182.49,Pass,0.0531,Road,Route-24,7100.46,2024-06-12
Mascara,SKU-1027,24.1,In Stock,6,147.08,Teen,246,10,39,1,DHL,42.3,Supplier A,India,248,28,1484.93,Fail,0.1932,Road,Route-2,3587.89,2024-06-12
Lipstick,SKU-1038,95.23,In Stock,14,2041.18,Teen,277,8,55,6,FedEx,42.0,Supplier B,Germany,5058,10,3112.79,Pass,0.0229,Sea,Route-7,201.12,2024-06-12
Mascara,SKU-1041,41.44,In Stock,1,53.12,Senior,186,3,40,9,UPS,48.02,Supplier B,Germany,6075,29,927.52,Fail,0.1322,Air,Route-46,4428.32,2024-06-12
Foundation,SKU-1041,41.44,Pre-Order,18,1362.78,Adult,85,3,61,7,DHL,17.99,Supplier A,USA,9901,10,2609.94,Pass,0.0367,Road,Route-19,5780.53,2024-06-12
Blush,SKU-1029,67.32,Out of Stock,19,1712.18,Senior,339,1,40,8,UPS,10.07,Supplier C,Germany,8177,18,1600.53,Fail,0.0171,Sea,Route-32,7066.26,2024-06-12
Blush,SKU-1005,39.39,In Stock,6,216.27,Teen,367,11,49,4,FedEx,42.98,Supplier A,India,9440,2,3166.12,Fail,0.0103,Road,Route-9,3671.82,2024-06-12
Blush,SKU-1001,90.71,Pre-Order,20,2470.01,Senior,419,4,6,7,DHL,39.33,Supplier B,Mexico,9445,13,4935.38,Fail,0.0424,Road,Route-45,481.12,2024-06-12
Lipstick,SKU-1027,24.1,Pre-Order,18,890.44,Teen,138,3,76,8,DHL,11.22,Supplier A,Mexico,9583,23,3878.0,Pass,0.0276,Road,Route-3,4769.8,2024-06-12
Blush,SKU-1012,22.79,Pre-Order,18,413.78,Teen,190,14,20,2,FedEx,8.16,Supplier C,China,1116,16,4251.44,Pass,0.011,Sea,Route-38,6358.02,2024-06-12
Lipstick,SKU-1029,67.32,In Stock,11,1246.48,Teen,125,3,71,2,UPS,7.21,Supplier C,China,3095,4,3028.66,Pass,0.0358,Sea,Route-16,5434.69,2024-06-12
Mascara,SKU-1031,48.54,Out of Stock,20,1330.29,Senior,443,14,43,7,USPS,25.38,Supplier C,India,1558,13,2544.84,Fail,0.074,Air,Route-6,9125.73,2024-06-12
Lipstick,SKU-1011,75.45,In Stock,2,324.33,Adult,107,9,75,8,FedEx,43.48,Supplier C,USA,2076,2,2849.06,Fail,0.0039,Road,Route-19,7795.29,2024-06-12
Foundation,SKU-1009,61.93,In Stock,10,1513.31,Teen,44,3,79,2,USPS,8.93,Supplier C,Mexico,8039,5,627.73,Pass,0.0319,Air,Route-41,1915.93,2024-06-12
Lipstick,SKU-1024,80.89,In Stock,3,396.43,Teen,74,4,64,7,USPS,42.73,Supplier C,Mexico,2758,23,2401.92,Fail,0.0237,Sea,Route-36,8861.89,2024-06-12
Eyeliner,SKU-1024,80.89,Pre-Order,6,415.63,Adult,358,6,20,3,FedEx,8.58,Supplier A,Mexico,2922,11,1624.62,Fail,0.0175,Road,Route-8,1393.02,2024-06-12
Blush,SKU-1018,43.23,Out of Stock,12,700.68,Senior,476,5,31,1,USPS,11.85,Supplier A,Germany,9138,4,1852.18,Pass,0.0393,Air,Route-19,4782.37,2024-06-12
Mascara,SKU-1038,95.23,Pre-Order,1,83.3,Teen,443,12,17,1,FedEx,19.57,Supplier A,USA,7169,28,4532.64,Fail,0.1554,Sea,Route-21,9716.37,2024-06-12
Eyeliner,SKU-1043,95.24,Pre-Order,8,984.26,Teen,376,6,19,10,FedEx,34.94,Supplier B,India,6346,12,1988.93,Fail,0.0035,Sea,Route-4,9454.83,2024-06-12
Lipstick,SKU-1016,44.94,In Stock,18,1321.34,Senior,212,11,78,2,UPS,41.49,Supplier B,Mexico,4394,4,2259.21,Fail,0.0444,Air,Route-48,1822.67,2024-06-12
Foundation,SKU-1000,57.25,In Stock,4,551.0,Teen,346,12,76,7,DHL,19.29,Supplier A,Germany,2749,18,1080.24,Fail,0.0325,Sea,Route-44,9710.88,2024-06-12
Blush,SKU-1045,57.87,Pre-Order,16,1017.35,Senior,202,7,34,7,UPS,34.51,Supplier C,Mexico,6905,21,2333.85,Fail,0.0462,Road,Route-22,5698.23,2024-06-12
Lipstick,SKU-1042,27.26,Pre-Order,8,436.69,Teen,111,12,79,10,UPS,37.82,Supplier B,Mexico,2785,24,4257.34,Fail,0.0364,Air,Route-17,5109.48,2024-06-12
Foundation,SKU-1012,22.79,Pre-Order,17,843.16,Teen,49,8,92,2,FedEx,6.71,Supplier C,China,6382,9,4473.55,Pass,0.0425,Air,Route-20,7260.29,2024-06-12
Eyeliner,SKU-1028,69.89,Out of Stock,3,289.94,Senior,328,12,24,9,USPS,31.78,Supplier A,India,2526,10,4506.01,Fail,0.0475,Road,Route-13,5396.9,2024-06-12
Mascara,SKU-1037,12.42,Out of Stock,15,158.47,Adult,63,3,21,5,FedEx,31.39,Supplier B,Mexico,6843,28,609.61,Pass,0.0649,Sea,Route-7,4293.25,2024-06-12
Mascara,SKU-1005,39.39,Out of Stock,4,231.43,Teen,426,11,33,7,DHL,18.04,Supplier C,India,3792,16,969.41,Fail,0.192,Sea,Route-17,9291.66,2024-06-12
Blush,SKU-1007,10.24,Out of Stock,3,33.78,Adult,129,3,27,7,USPS,43.13,Supplier C,India,3792,28,3980.27,Pass,0.0248,Road,Route-47,352.27,2024-06-12
Blush,SKU-1017,16.21,Out of Stock,2,41.33,Senior,256,11,31,8,DHL,11.21,Supplier B,Mexico,1141,12,3527.85,Fail,0.0026,Sea,Route-18,2455.5,2024-06-12
Blush,SKU-1001,90.71,Pre-Order,3,359.48,Senior,233,4,4,10,DHL,39.11,Supplier A,Germany,1049,18,1998.86,Fail,0.0498,Air,Route-43,4911.93,2024-06-12
Lipstick,SKU-1008,53.77,In Stock,15,1362.17,Teen,371,3,86,9,UPS,7.6,Supplier B,Mexico,3282,25,3728.12,Fail,0.0379,Sea,Route-16,9053.13,2024-06-12
Lipstick,SKU-1041,41.44,In Stock,15,1397.38,Teen,441,6,74,6,DHL,13.86,Supplier B,India,9914,2,1960.56,Pass,0.0407,Sea,Route-31,4199.4,2024-06-12
